"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"field_1681_a","recipePatterns","a","[[Ljava/lang/String;","[[Ljava/lang/String;","RecipesArmor","z","net/minecraft/src","0"
"field_1680_b","recipeItems","b","[[Ljava/lang/Object;","[[Ljava/lang/Object;","RecipesArmor","z","net/minecraft/src","0"
"field_519_a","protocolVersion","a","I","I","Packet1Login","nz","net/minecraft/src","0"
"field_518_b","username","b","Ljava/lang/String;","Ljava/lang/String;","Packet1Login","nz","net/minecraft/src","0"
"field_4074_d","mapSeed","c","J","J","Packet1Login","nz","net/minecraft/src","0"
"field_4073_e","dimension","d","B","B","Packet1Login","nz","net/minecraft/src","0"
"field_983_a","netHandler","a","LNetClientHandler;","Lnb;","GuiDownloadTerrain","gg","net/minecraft/src","0"
"field_984_h","updateCounter","i","I","I","GuiDownloadTerrain","gg","net/minecraft/src","0"
"field_818_a","stackResult","a","[LItemStack;","[Liz;","InventoryCraftResult","wl","net/minecraft/src","0"
"field_670_b","particleTextureIndex","b","I","I","EntityFX","xw","net/minecraft/src","0"
"field_669_c","particleTextureJitterX","c","F","F","EntityFX","xw","net/minecraft/src","0"
"field_668_d","particleTextureJitterY","d","F","F","EntityFX","xw","net/minecraft/src","0"
"field_20923_e","particleAge","e","I","I","EntityFX","xw","net/minecraft/src","0"
"field_666_f","particleMaxAge","f","I","I","EntityFX","xw","net/minecraft/src","0"
"field_665_g","particleScale","g","F","F","EntityFX","xw","net/minecraft/src","0"
"field_664_h","particleGravity","h","F","F","EntityFX","xw","net/minecraft/src","0"
"field_663_i","particleRed","i","F","F","EntityFX","xw","net/minecraft/src","0"
"field_662_j","particleGreen","j","F","F","EntityFX","xw","net/minecraft/src","0"
"field_661_k","particleBlue","k","F","F","EntityFX","xw","net/minecraft/src","0"
"field_660_l","interpPosX","l","D","D","EntityFX","xw","net/minecraft/src","0"
"field_659_m","interpPosY","m","D","D","EntityFX","xw","net/minecraft/src","0"
"field_658_n","interpPosZ","n","D","D","EntityFX","xw","net/minecraft/src","0"
"field_21037_a","xLocation","a","I","I","Packet54PlayNoteBlock","vw","net/minecraft/src","0"
"field_21036_b","yLocation","b","I","I","Packet54PlayNoteBlock","vw","net/minecraft/src","0"
"field_21040_c","zLocation","c","I","I","Packet54PlayNoteBlock","vw","net/minecraft/src","0"
"field_21039_d","instrumentType","d","I","I","Packet54PlayNoteBlock","vw","net/minecraft/src","0"
"field_21038_e","pitch","e","I","I","Packet54PlayNoteBlock","vw","net/minecraft/src","0"
"field_6501_o","entityRenderMap","o","Ljava/util/Map;","Ljava/util/Map;","RenderManager","th","net/minecraft/src","0"
"field_1233_a","instance","a","LRenderManager;","Lth;","RenderManager","th","net/minecraft/src","0"
"field_1218_p","fontRenderer","p","LFontRenderer;","Lsj;","RenderManager","th","net/minecraft/src","0"
"field_1232_b","renderPosX","b","D","D","RenderManager","th","net/minecraft/src","0"
"field_1231_c","renderPosY","c","D","D","RenderManager","th","net/minecraft/src","0"
"field_1230_d","renderPosZ","d","D","D","RenderManager","th","net/minecraft/src","0"
"field_1229_e","renderEngine","e","LRenderEngine;","Lji;","RenderManager","th","net/minecraft/src","0"
"field_4236_f","itemRenderer","f","LItemRenderer;","Lra;","RenderManager","th","net/minecraft/src","0"
"field_1227_g","worldObj","g","LWorld;","Lfd;","RenderManager","th","net/minecraft/src","0"
"field_22188_h","livingPlayer","h","LEntityLiving;","Lls;","RenderManager","th","net/minecraft/src","0"
"field_1225_i","playerViewY","i","F","F","RenderManager","th","net/minecraft/src","0"
"field_1224_j","playerViewX","j","F","F","RenderManager","th","net/minecraft/src","0"
"field_1223_k","options","k","LGameSettings;","Lkv;","RenderManager","th","net/minecraft/src","0"
"field_1222_l","field_1222_l","l","D","D","RenderManager","th","net/minecraft/src","0"
"field_1221_m","field_1221_m","m","D","D","RenderManager","th","net/minecraft/src","0"
"field_1220_n","field_1220_n","n","D","D","RenderManager","th","net/minecraft/src","0"
"field_22024_a","repeaterTorchOffset","a","[D","[D","BlockRedstoneRepeater","wo","net/minecraft/src","0"
"field_22023_b","repeaterState","b","[I","[I","BlockRedstoneRepeater","wo","net/minecraft/src","0"
"field_22025_c","isRepeaterPowered","c","Z","Z","BlockRedstoneRepeater","wo","net/minecraft/src","0"
"field_1256_a","sideModels","a","[LModelRenderer;","[Lps;","ModelMinecart","nq","net/minecraft/src","0"
"field_532_a","username","a","Ljava/lang/String;","Ljava/lang/String;","Packet2Handshake","mp","net/minecraft/src","0"
"field_1458_a","tileEntities","a","Ljava/util/List;","Ljava/util/List;","RenderGlobal","n","net/minecraft/src","0"
"field_1448_k","worldObj","k","LWorld;","Lfd;","RenderGlobal","n","net/minecraft/src","0"
"field_1447_l","renderEngine","l","LRenderEngine;","Lji;","RenderGlobal","n","net/minecraft/src","0"
"field_1446_m","worldRenderersToUpdate","m","Ljava/util/List;","Ljava/util/List;","RenderGlobal","n","net/minecraft/src","0"
"field_1445_n","sortedWorldRenderers","n","[LWorldRenderer;","[Ldk;","RenderGlobal","n","net/minecraft/src","0"
"field_1444_o","worldRenderers","o","[LWorldRenderer;","[Ldk;","RenderGlobal","n","net/minecraft/src","0"
"field_1443_p","renderChunksWide","p","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1442_q","renderChunksTall","q","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1441_r","renderChunksDeep","r","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1440_s","glRenderListBase","s","I","I","RenderGlobal","n","net/minecraft/src","0"
"field_1439_t","mc","t","LMinecraft;","LMinecraft;","RenderGlobal","n","net/minecraft/src","0"
"field_1438_u","globalRenderBlocks","u","LRenderBlocks;","Lcv;","RenderGlobal","n","net/minecraft/src","0"
