"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"func_1148_a","addRecipes","a","(LCraftingManager;)V","(Lhk;)V","RecipesArmor","z","net/minecraft/src","0"
"func_594_b","func_594_b","b","(Ljava/lang/String;)V","(Ljava/lang/String;)V","IProgressUpdate","yb","net/minecraft/src","0"
"func_595_d","displayLoadingString","d","(Ljava/lang/String;)V","(Ljava/lang/String;)V","IProgressUpdate","yb","net/minecraft/src","0"
"func_593_a","setLoadingProgress","a","(I)V","(I)V","IProgressUpdate","yb","net/minecraft/src","0"
"func_407_b","func_407_b","c","(F)LEntityFX;","(F)Lxw;","EntityFX","xw","net/minecraft/src","0"
"func_405_d","func_405_d","d","(F)LEntityFX;","(F)Lxw;","EntityFX","xw","net/minecraft/src","0"
"func_406_a","renderParticle","a","(LTessellator;FFFFFF)V","(Lnw;FFFFFF)V","EntityFX","xw","net/minecraft/src","0"
"func_404_c","getFXLayer","c_","()I","()I","EntityFX","xw","net/minecraft/src","0"
"func_600_a","getBlockId","a","(III)I","(III)I","IBlockAccess","xp","net/minecraft/src","0"
"func_603_b","getBlockTileEntity","b","(III)LTileEntity;","(III)Low;","IBlockAccess","xp","net/minecraft/src","0"
"func_28099_a","getBrightness","a","(IIII)F","(IIII)F","IBlockAccess","xp","net/minecraft/src","0"
"func_598_c","getLightBrightness","c","(III)F","(III)F","IBlockAccess","xp","net/minecraft/src","0"
"func_602_e","getBlockMetadata","e","(III)I","(III)I","IBlockAccess","xp","net/minecraft/src","0"
"func_599_f","getBlockMaterial","f","(III)LMaterial;","(III)Lln;","IBlockAccess","xp","net/minecraft/src","0"
"func_601_g","isBlockOpaqueCube","g","(III)Z","(III)Z","IBlockAccess","xp","net/minecraft/src","0"
"func_28100_h","isBlockNormalCube","h","(III)Z","(III)Z","IBlockAccess","xp","net/minecraft/src","0"
"func_4075_a","getWorldChunkManager","a","()LWorldChunkManager;","()Lxv;","IBlockAccess","xp","net/minecraft/src","0"
